ID,Program.Code,From.Grade,To.Grade,Group.State,Is.Non.Annual.,Days,Travel.Type,Departure.Date,Return.Date,Deposit.Date,Special.Pay,Tuition,FRP.Active,FRP.Cancelled,FRP.Take.up.percent.,Early.RPL,Latest.RPL,Cancelled.Pax,Total.Discount.Pax,Initial.System.Date,Poverty.Code,Region,CRM.Segment,School.Type,Parent.Meeting.Flag,MDR.Low.Grade,MDR.High.Grade,Total.School.Enrollment,Income.Level,EZ.Pay.Take.Up.Rate,School.Sponsor,SPR.Product.Type,SPR.New.Existing,FPP,Total.Pax,SPR.Group.Revenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPP.to.School.enrollment,FPP.to.PAX,Num.of.Non_FPP.PAX,SchoolSizeIndicator,Retained.in.2012.
425,CD,7,7,LA,0,4,A,3/29/2011,4/2/2011,10/10/2010,NA,1558,44,6,0.647,2/4/2010,9/15/2010,6,4,2/2/2010,,Other,5,PUBLIC,1,PK,12,,O,0.265,0,East Coast,EXISTING,68,72,1558,1,9/16/2010,9/16/2010,194,194,Middle,Middle,Middle->Middle,March,PK,High,PK->High,C,1,NA,0.944444444,4,,1
426,HD,5,6,CA,0,5,A,3/29/2011,4/2/2011,10/1/2010,NA,1999,11,4,0.917,4/21/2010,8/11/2010,5,1,4/16/2010,B,Northern California,4,PUBLIC,1,K,6,652,Q,0.417,0,East Coast,NEW,12,13,1999,2,5/19/2010,8/25/2010,314,216,Elementary,Middle,Elementary->Middle,March,K,Middle,K->Middle,H,0,0.018404908,0.923076923,1,M-L,0
427,HD,6,8,MO,0,4,B,3/29/2011,4/3/2011,11/15/2010,NA,979,10,3,0.556,NA,9/22/2010,9,1,9/22/2010,C,Other,10,PUBLIC,1,6,8,210,E,0,0,East Coast,NEW,18,19,979,1,10/12/2010,10/12/2010,168,168,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0,0.085714286,0.947368421,1,S,1
428,HZ,4,4,CA,0,1,B,3/30/2011,3/30/2011,11/15/2010,SA,172,0,0,0,5/19/2010,9/2/2010,0,2,4/15/2010,,Southern California,5,Private non-Christian,1,4,12,410,Q,0,1,CA History,EXISTING,35,37,172,1,9/28/2010,9/28/2010,183,183,Elementary,Elementary,Elementary->Elementary,March,Elementary,High,Elementary->High,H,1,0.085365854,0.945945946,2,S-M,1
429,HD,7,8,MN,1,3,A,3/30/2011,4/2/2011,11/1/2010,FR,1337,26,3,0.531,3/4/2010,8/26/2010,4,5,3/3/2010,A,Other,10,PUBLIC,1,5,8,700,P,0.367,1,East Coast,EXISTING,49,54,1337,1,9/14/2010,9/14/2010,197,197,Middle,Middle,Middle->Middle,March,Elementary,Middle,Elementary->Middle,H,0,0.07,0.907407407,5,M-L,0
430,HD,7,8,OK,1,4,A,3/30/2011,4/2/2011,10/1/2010,FR,1577,22,9,0.611,2/16/2010,8/24/2010,14,3,1/9/2010,B,Other,10,PUBLIC,1,PK,8,340,C,0.167,0,East Coast,EXISTING,36,39,1577,1,9/2/2010,9/2/2010,209,209,Middle,Middle,Middle->Middle,March,PK,Middle,PK->Middle,H,0,0.105882353,0.923076923,3,S-M,0
431,HD,7,8,MN,1,3,A,3/30/2011,4/2/2011,11/1/2010,NA,1365,10,1,0.625,3/4/2010,9/14/2010,2,1,3/3/2010,A,Other,10,PUBLIC,1,5,8,653,L,0.438,0,East Coast,EXISTING,16,17,1365,1,9/29/2010,9/29/2010,182,182,Middle,Middle,Middle->Middle,March,Elementary,Middle,Elementary->Middle,H,0,0.024502297,0.941176471,1,M-L,0
432,HW,11,12,NY,1,4,B,3/30/2011,4/2/2011,6/1/2010,NA,737,42,2,0.56,2/11/2010,2/11/2010,3,11,2/1/2010,A,Other,8,PUBLIC,1,9,12,1693,P,0.253,0,East Coast,EXISTING,75,86,737,1,9/23/2010,9/23/2010,188,188,High,High,High->High,March,High,High,High->High,H,0,0.044300059,0.872093023,11,L,1
433,HC,11,11,WA,0,5,A,3/30/2011,4/3/2011,10/1/2010,NA,2224,4,3,0.667,NA,9/1/2010,4,1,8/28/2010,B,Pacific Northwest,8,PUBLIC,1,9,12,1602,H,0.167,0,East Coast,NEW,6,7,2224,1,9/16/2010,9/16/2010,195,195,High,High,High->High,March,High,High,High->High,H,1,0.003745318,0.857142857,1,L,0
434,HVP,5,5,SC,0,4,B,3/30/2011,4/3/2011,10/14/2010,NA,479,104,15,0.588,NA,9/9/2010,26,9,9/3/2010,C,Other,4,PUBLIC,0,PK,5,657,D,0.164,0,East Coast,NEW,177,186,479,0,NA,NA,NA,NA,Elementary,Elementary,Elementary->Elementary,March,PK,Elementary,PK->Elementary,H,1,0.269406393,0.951612903,9,M-L,0
435,HN,7,8,FL,0,3,A,3/31/2011,4/2/2011,11/8/2010,NA,1615,10,3,0.714,5/24/2010,8/25/2010,5,2,5/22/2010,B,Other,10,PUBLIC,1,6,8,881,L,0,0,East Coast,NEW,14,16,1615,2,6/1/2010,9/7/2010,303,205,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0,0.015891033,0.875,2,L,0
436,HD,8,8,MN,0,3,A,3/31/2011,4/2/2011,10/10/2010,NA,1075,30,1,0.698,5/6/2010,8/24/2010,1,4,2/23/2010,B,Other,10,PUBLIC,1,5,12,586,J,0.163,0,East Coast,EXISTING,43,47,1075,1,9/21/2010,9/21/2010,191,191,Middle,Middle,Middle->Middle,March,Elementary,High,Elementary->High,H,1,0.07337884,0.914893617,4,M-L,1
437,HN,5,11,KY,1,3,A,3/31/2011,4/2/2011,9/30/2010,NA,1645,6,0,1,NA,8/17/2010,0,1,7/30/2010,,Other,1,CHD,1,K,9,105,I,0,0,East Coast,EXISTING,6,7,1645,2,9/13/2010,10/21/2010,199,161,Elementary,High,Elementary->High,March,K,High,K->High,H,0,0.057142857,0.857142857,1,S,0
438,HVP,8,8,NC,0,3,B,3/31/2011,4/2/2011,11/15/2010,NA,420,20,9,0.625,NA,9/16/2010,10,3,9/15/2010,B,Other,10,PUBLIC,1,6,8,607,J,0,0,East Coast,NEW,32,35,420,1,9/23/2010,9/23/2010,189,189,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.052718287,0.914285714,3,M-L,0
439,HVP,7,9,NC,0,3,B,3/31/2011,4/2/2011,2/1/2011,FR,374,5,1,0.143,NA,12/3/2010,2,2,12/3/2010,C,Other,2,PUBLIC,1,6,8,450,C,0,0,East Coast,NEW,35,37,374,1,1/10/2011,1/10/2011,80,80,Middle,High,Middle->High,March,Middle,Middle,Middle->Middle,H,0,0.077777778,0.945945946,2,S-M,0
440,HD,8,8,IA,0,3,A,3/31/2011,4/3/2011,10/15/2010,FR,1158,85,13,0.545,4/21/2010,8/24/2010,19,12,4/22/2010,B,Other,10,PUBLIC,1,7,9,1050,H,0.314,0,East Coast,EXISTING,156,168,1158,1,9/14/2010,9/14/2010,198,198,Middle,Middle,Middle->Middle,March,Middle,High,Middle->High,H,1,0.148571429,0.928571429,12,L,1
441,CD,7,12,WA,1,4,A,3/31/2011,4/3/2011,10/1/2010,NA,1812,8,3,0.8,1/26/2010,8/20/2010,3,1,10/31/2009,,Pacific Northwest,5,CHD,1,PK,12,520,H,0.5,0,East Coast,EXISTING,10,11,1812,1,4/13/2010,4/13/2010,352,352,Middle,High,Middle->High,March,PK,High,PK->High,C,0,0.019230769,0.909090909,1,S-M,0
442,CD,12,12,TX,0,4,A,3/31/2011,4/3/2011,11/1/2010,NA,1508,8,0,0.727,4/12/2010,9/16/2010,0,1,4/8/2010,,Dallas,10,CHD,1,K,12,126,G,0.091,0,East Coast,NEW,11,12,1508,2,8/26/2010,10/4/2010,217,178,High,High,High->High,March,K,High,K->High,C,1,0.087301587,0.916666667,1,S,0
443,CD,8,8,OK,0,4,A,3/31/2011,4/3/2011,11/15/2010,NA,1396,11,7,1,NA,9/24/2010,9,1,9/24/2010,,Other,4,CHD,1,PK,5,594,J,0.273,0,East Coast,NEW,11,12,1396,1,10/14/2010,10/14/2010,168,168,Middle,Middle,Middle->Middle,March,PK,Elementary,PK->Elementary,C,1,0.018518519,0.916666667,1,M-L,1
444,HVP,8,8,IN,0,4,B,3/31/2011,4/4/2011,10/20/2010,NA,537,14,2,0.583,NA,9/15/2010,2,1,9/9/2010,C,Other,10,PUBLIC,1,6,8,631,L,0.333,0,East Coast,NEW,24,25,537,1,10/5/2011,10/5/2011,-188,-188,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.038034865,0.96,1,M-L,0
445,HD,8,8,WA,0,8,A,3/31/2011,4/8/2011,10/19/2010,NA,2636,34,3,0.515,2/19/2010,8/26/2010,8,4,2/18/2010,B,Pacific Northwest,5,PUBLIC,1,6,8,620,I,0.318,0,East Coast,EXISTING,66,70,2636,1,9/15/2010,9/15/2010,197,197,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.106451613,0.942857143,4,M-L,1
446,HVP,7,8,NC,0,3,B,4/1/2011,4/3/2011,11/8/2010,NA,399,41,5,0.719,NA,9/1/2010,11,5,8/27/2010,C,Other,10,PUBLIC,1,6,8,220,F,0.14,0,East Coast,NEW,57,62,399,1,9/20/2010,9/20/2010,193,193,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,0,0.259090909,0.919354839,5,S,0
447,HD,8,8,CA,0,4,A,4/1/2011,4/5/2011,12/1/2010,NA,1767,21,2,0.477,4/28/2010,9/30/2010,3,3,3/31/2010,B,Southern California,5,PUBLIC,1,6,8,920,P,0.091,0,East Coast,EXISTING,44,47,1767,1,10/13/2010,10/13/2010,170,170,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.047826087,0.936170213,3,L,1
448,HD,8,8,CA,0,4,A,4/1/2011,4/5/2011,10/22/2010,NA,1999,18,4,0.581,5/17/2010,8/19/2010,4,3,5/15/2010,B,Southern California,5,PUBLIC,0,6,8,1600,Q,0.194,0,East Coast,EXISTING,31,34,1999,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.019375,0.911764706,3,L,1
449,HVP,NA,NA,KY,0,3,B,4/1/2011,4/5/2011,10/20/2010,NA,499,15,10,0.517,5/21/2010,5/21/2010,21,2,5/21/2010,C,Other,10,PUBLIC,1,6,8,911,F,0.103,0,East Coast,NEW,29,31,499,2,9/1/2010,10/5/2010,212,178,Undefined,Undefined,Undefined->Undefined,April,Middle,Middle,Middle->Middle,H,0,0.03183315,0.935483871,2,L,1
450,HD,7,8,WA,0,4,A,4/1/2011,4/5/2011,10/22/2010,FR,1888,11,1,0.55,5/10/2010,9/9/2010,1,1,5/8/2010,B,Pacific Northwest,5,PUBLIC,1,7,8,400,K,0.15,0,East Coast,EXISTING,20,21,1888,1,9/29/2010,9/29/2010,184,184,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,0,0.05,0.952380952,1,S-M,1
451,HD,5,5,CA,0,4,A,4/1/2011,4/5/2011,11/19/2010,NA,1999,6,3,0.857,5/20/2010,9/10/2010,4,1,5/20/2010,B,Southern California,4,PUBLIC,1,K,5,987,O,0.429,0,East Coast,EXISTING,7,8,1999,1,9/23/2010,9/23/2010,190,190,Elementary,Elementary,Elementary->Elementary,April,K,Elementary,K->Elementary,H,1,0.007092199,0.875,1,L,0
452,SG,7,7,VA,0,5,A,4/1/2011,4/5/2011,11/3/2010,NA,2140,42,5,0.793,NA,9/23/2010,5,5,6/16/2010,A,Other,6,PUBLIC,1,7,8,936,Q,0.17,0,Science,EXISTING,53,58,2140,1,9/29/2010,9/29/2010,184,184,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,S,1,0.056623932,0.913793103,5,L,1
453,HVP,5,5,GA,0,5,B,4/1/2011,4/5/2011,10/30/2010,NA,449,32,6,0.516,NA,8/12/2010,6,7,8/12/2010,B,Other,4,PUBLIC,1,K,5,1072,O,0.129,0,East Coast,NEW,62,69,449,1,8/26/2010,8/26/2010,218,218,Elementary,Elementary,Elementary->Elementary,April,K,Elementary,K->Elementary,H,1,0.057835821,0.898550725,7,L,1
454,HC,7,8,CA,0,5,A,4/1/2011,4/6/2011,10/15/2010,NA,1836,22,4,0.407,4/29/2010,8/9/2010,3,6,4/28/2010,B,Southern California,5,PUBLIC,1,6,8,800,O,0.259,0,East Coast,EXISTING,54,60,1836,1,9/2/2010,9/2/2010,211,211,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,0,0.0675,0.9,6,M-L,1
455,HC,8,8,CA,0,5,A,4/1/2011,4/6/2011,11/1/2010,NA,1929,12,2,0.5,3/29/2010,8/30/2010,1,3,3/27/2010,B,Southern California,5,PUBLIC,1,6,8,730,O,0.083,0,East Coast,EXISTING,24,27,1929,1,9/2/2010,9/2/2010,211,211,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.032876712,0.888888889,3,M-L,1
456,HD,8,8,CA,0,5,A,4/1/2011,4/6/2011,11/19/2010,NA,2139,43,8,0.717,3/10/2010,8/20/2010,10,5,2/27/2010,B,Southern California,5,PUBLIC,1,7,8,1250,Q,0.15,0,East Coast,EXISTING,60,65,2139,1,9/14/2010,9/14/2010,199,199,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.048,0.923076923,5,L,1
457,HD,8,8,CA,0,5,A,4/1/2011,4/6/2011,10/1/2010,NA,1599,23,7,0.719,4/19/2010,8/26/2010,11,4,4/16/2010,B,Southern California,5,PUBLIC,1,6,8,728,M,0.156,0,East Coast,NEW,32,36,1599,1,5/18/2010,5/18/2010,318,318,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.043956044,0.888888889,4,M-L,1
458,HC,7,8,WA,0,5,A,4/1/2011,4/6/2011,11/19/2010,NA,2296,8,1,0.381,4/29/2010,9/1/2010,2,1,4/29/2010,B,Pacific Northwest,5,PUBLIC,0,6,7,650,O,0.048,0,East Coast,EXISTING,21,22,2296,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,0,0.032307692,0.954545455,1,M-L,0
459,HD,8,8,WA,0,5,A,4/1/2011,4/6/2011,10/30/2010,NA,1914,21,9,0.724,5/6/2010,9/1/2010,13,2,5/5/2010,B,Pacific Northwest,5,PUBLIC,1,6,8,891,H,0.345,0,East Coast,EXISTING,29,31,1914,2,5/27/2010,9/28/2010,309,185,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.032547699,0.935483871,2,L,1
460,HC,8,8,CA,0,6,A,4/1/2011,4/6/2011,10/8/2010,FR,2349,32,7,0.478,4/21/2010,8/23/2010,9,7,1/21/2010,B,Southern California,5,PUBLIC,1,6,8,1381,P,0.119,0,East Coast,EXISTING,67,74,2349,1,9/8/2010,9/8/2010,205,205,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.048515568,0.905405405,7,L,1
461,HC,8,8,WA,0,6,A,4/1/2011,4/7/2011,10/25/2010,NA,2498,13,3,0.5,4/30/2010,9/14/2010,6,1,4/30/2010,B,Pacific Northwest,5,PUBLIC,1,7,9,611,J,0.039,0,East Coast,EXISTING,26,27,2498,1,9/24/2010,9/24/2010,189,189,Middle,Middle,Middle->Middle,April,Middle,High,Middle->High,H,1,0.042553191,0.962962963,1,M-L,1
462,HD,8,9,CA,0,6,A,4/1/2011,4/7/2011,6/1/2010,NA,2010,32,8,0.64,3/1/2010,3/1/2010,10,3,3/2/2010,B,Southern California,5,PUBLIC,1,7,12,1121,P,0.48,0,East Coast,EXISTING,50,53,2010,1,9/22/2010,9/22/2010,191,191,Middle,High,Middle->High,April,Middle,High,Middle->High,H,0,0.044603033,0.943396226,3,L,1
463,HC,8,8,CA,0,6,A,4/1/2011,4/7/2011,10/29/2010,NA,2520,8,3,0.727,3/22/2010,8/26/2010,3,1,3/17/2010,B,Southern California,5,PUBLIC,1,7,8,1035,Q,0.364,0,East Coast,EXISTING,11,12,2520,1,9/23/2010,9/23/2010,190,190,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.010628019,0.916666667,1,L,1
464,HC,8,8,WA,0,7,A,4/1/2011,4/8/2011,10/22/2010,NA,2587,8,3,0.364,5/6/2010,8/27/2010,3,2,5/5/2010,B,Pacific Northwest,5,PUBLIC,1,6,8,741,L,0.273,0,East Coast,EXISTING,22,24,2587,1,9/30/2010,9/30/2010,183,183,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.029689609,0.916666667,2,M-L,0
465,HS,4,4,CA,0,2,A,4/2/2011,4/3/2011,10/1/2010,NA,599,2,3,0.286,4/2/2010,9/1/2010,4,1,4/1/2010,,Southern California,5,CHD,1,PK,8,250,P,0.143,1,CA History,EXISTING,7,8,599,1,9/9/2010,9/9/2010,205,205,Elementary,Elementary,Elementary->Elementary,April,PK,Middle,PK->Middle,H,1,0.028,0.875,1,S,1
466,HS,4,4,CA,0,2,A,4/2/2011,4/3/2011,11/30/2010,NA,598,0,1,0,NA,9/20/2010,1,1,6/10/2010,B,Southern California,4,PUBLIC,0,K,5,525,N,0.286,0,CA History,EXISTING,7,8,598,0,NA,NA,NA,NA,Elementary,Elementary,Elementary->Elementary,April,K,Elementary,K->Elementary,H,1,0.013333333,0.875,1,S-M,1
467,HS,5,5,CA,0,2,A,4/2/2011,4/3/2011,11/15/2010,NA,583,10,0,0.588,NA,8/31/2010,2,1,8/31/2010,B,Southern California,4,PUBLIC,1,K,5,579,Q,0.177,0,CA History,NEW,17,18,583,1,9/15/2010,9/15/2010,199,199,Elementary,Elementary,Elementary->Elementary,April,K,Elementary,K->Elementary,H,1,0.029360967,0.944444444,1,M-L,0
468,HD,8,8,CA,0,5,A,4/2/2011,4/6/2011,11/19/2010,NA,1998,29,1,0.644,4/16/2010,8/25/2010,3,2,4/17/2010,B,Southern California,5,PUBLIC,1,6,8,1000,O,0.2,0,East Coast,EXISTING,45,47,1998,1,9/29/2010,9/29/2010,185,185,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.045,0.957446809,2,L,1
469,HD,7,8,WA,1,5,A,4/2/2011,4/6/2011,10/13/2010,NA,1995,16,2,0.696,4/15/2010,9/28/2010,5,1,4/14/2010,B,Pacific Northwest,5,PUBLIC,1,7,8,750,O,0.304,0,East Coast,NEW,23,24,1995,1,9/29/2010,9/29/2010,185,185,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,0,0.030666667,0.958333333,1,M-L,0
470,HD,8,8,WA,0,5,A,4/2/2011,4/6/2011,10/1/2010,FR,1929,13,2,0.684,3/24/2010,8/20/2010,6,2,3/17/2010,B,Pacific Northwest,5,PUBLIC,1,7,9,734,L,0.158,0,East Coast,NEW,19,21,1929,1,9/13/2010,9/13/2010,201,201,Middle,Middle,Middle->Middle,April,Middle,High,Middle->High,H,1,0.025885559,0.904761905,2,M-L,1
471,SM,7,9,CA,0,5,A,4/2/2011,4/6/2011,11/19/2010,NA,2342,8,3,0.667,3/15/2010,3/15/2010,8,1,3/12/2010,B,Southern California,6,PUBLIC,1,7,8,977,Q,0.25,0,Science,NEW,12,13,2342,2,5/13/2010,6/14/2010,324,292,Middle,High,Middle->High,April,Middle,Middle,Middle->Middle,S,0,0.012282497,0.923076923,1,L,0
472,HD,7,8,WA,0,5,A,4/2/2011,4/6/2011,10/15/2010,NA,2022,11,1,0.579,3/4/2010,8/9/2010,1,1,3/5/2010,A,Pacific Northwest,5,PUBLIC,1,6,8,500,P,0.105,0,East Coast,NEW,19,20,2022,1,9/28/2010,9/28/2010,186,186,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,0,0.038,0.95,1,S-M,0
473,HD,7,8,WA,0,5,A,4/2/2011,4/6/2011,10/29/2010,NA,1990,9,0,0.45,3/16/2010,9/1/2010,2,3,3/16/2010,B,Pacific Northwest,5,PUBLIC,1,7,8,701,P,0.1,0,East Coast,EXISTING,20,23,1990,2,5/20/2010,9/29/2010,317,185,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,0,0.02853067,0.869565217,3,M-L,0
474,HC,8,8,WA,0,5,A,4/2/2011,4/6/2011,10/30/2010,FR,2406,6,1,0.75,3/30/2010,9/24/2010,2,3,3/9/2010,C,Pacific Northwest,5,PUBLIC,1,6,8,607,G,0.5,0,East Coast,EXISTING,8,11,2406,1,10/18/2010,10/18/2010,166,166,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.013179572,0.727272727,3,M-L,0
475,HD,7,8,WA,0,5,A,4/2/2011,4/6/2011,11/19/2010,NA,2080,22,7,0.688,4/7/2010,8/18/2010,7,3,4/2/2010,B,Pacific Northwest,5,PUBLIC,1,6,8,900,G,0.25,0,East Coast,EXISTING,32,35,2080,1,9/30/2010,9/30/2010,184,184,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,0,0.035555556,0.914285714,3,L,1
476,HD,6,8,WA,1,5,A,4/2/2011,4/6/2011,10/15/2010,NA,2066,7,2,0.583,1/27/2010,8/30/2010,3,1,1/27/2010,A,Pacific Northwest,5,PUBLIC,1,6,8,465,N,0.333,0,East Coast,EXISTING,12,13,2066,2,3/4/2010,9/29/2010,394,185,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,0,0.025806452,0.923076923,1,S-M,1
477,HD,8,8,MT,1,5,A,4/2/2011,4/6/2011,11/1/2010,NA,2225,2,2,0.4,5/12/2010,9/8/2010,5,1,4/14/2010,C,Other,10,PUBLIC,1,5,8,600,E,0,0,East Coast,EXISTING,5,6,2225,2,5/25/2010,9/21/2010,312,193,Middle,Middle,Middle->Middle,April,Elementary,Middle,Elementary->Middle,H,1,0.008333333,0.833333333,1,M-L,0
478,HD,8,8,WA,0,5,A,4/2/2011,4/6/2011,11/1/2010,NA,2080,4,0,0.571,4/15/2010,8/30/2010,2,1,4/14/2010,B,Pacific Northwest,5,PUBLIC,1,7,9,847,L,0,0,East Coast,EXISTING,7,8,2080,2,4/21/2010,10/13/2010,346,171,Middle,Middle,Middle->Middle,April,Middle,High,Middle->High,H,1,0.008264463,0.875,1,L,0
479,HD,6,8,WA,1,5,A,4/2/2011,4/6/2011,10/1/2010,NA,2178,2,0,0.5,3/3/2010,8/25/2010,1,1,3/3/2010,B,Pacific Northwest,5,PUBLIC,0,K,8,190,J,0,0,East Coast,NEW,4,5,2178,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,April,K,Middle,K->Middle,H,0,0.021052632,0.8,1,S,1
480,HD,8,8,WA,0,5,A,4/2/2011,4/6/2011,11/1/2010,NA,2059,8,1,0.667,NA,8/27/2010,0,2,8/18/2010,A,Pacific Northwest,5,PUBLIC,1,6,8,300,K,0.083,0,East Coast,EXISTING,12,14,2059,1,9/23/2010,9/23/2010,191,191,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.04,0.857142857,2,S,0
481,HD,8,8,CA,0,5,A,4/2/2011,4/6/2011,10/22/2010,NA,1999,11,7,0.611,NA,9/3/2010,8,2,9/1/2010,B,Northern California,5,PUBLIC,1,6,8,647,O,0.167,0,East Coast,NEW,18,20,1999,1,9/30/2010,9/30/2010,184,184,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.027820711,0.9,2,M-L,1
482,HD,8,8,CA,0,6,A,4/2/2011,4/7/2011,10/15/2010,NA,2060,55,6,0.809,2/25/2010,8/16/2010,8,9,2/11/2010,A,Northern California,5,PUBLIC,1,6,8,1110,Q,0.162,0,East Coast,EXISTING,68,77,2060,1,9/16/2010,9/16/2010,198,198,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.061261261,0.883116883,9,L,1
483,HD,7,8,CA,0,6,A,4/2/2011,4/7/2011,10/15/2010,NA,2049,26,1,0.591,4/6/2010,8/31/2010,1,3,2/2/2010,B,Southern California,5,PUBLIC,1,6,8,770,Q,0.114,0,East Coast,EXISTING,44,47,2049,1,10/28/2010,10/28/2010,156,156,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,0,0.057142857,0.936170213,3,M-L,0
484,HD,8,8,TN,0,5,B,4/2/2011,4/7/2011,9/24/2010,NA,889,19,8,0.594,2/26/2010,8/6/2010,9,3,2/27/2010,C,Other,10,PUBLIC,1,7,8,290,D,0.281,0,East Coast,EXISTING,32,35,889,2,5/6/2010,8/26/2010,331,219,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.110344828,0.914285714,3,S,1
485,HC,8,8,CA,0,6,A,4/2/2011,4/7/2011,10/19/2010,NA,2371,14,14,0.583,4/28/2010,8/31/2010,14,1,4/20/2010,B,Southern California,5,PUBLIC,1,7,8,500,N,0.292,0,East Coast,EXISTING,24,25,2371,1,9/14/2010,9/14/2010,200,200,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.048,0.96,1,S-M,1
486,HD,8,8,WA,0,6,A,4/2/2011,4/7/2011,11/19/2010,NA,2204,11,0,0.44,4/12/2010,8/19/2010,0,2,3/31/2010,B,Pacific Northwest,5,PUBLIC,1,7,8,296,M,0.28,0,East Coast,EXISTING,25,27,2204,1,9/29/2010,9/29/2010,185,185,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.084459459,0.925925926,2,S,1
487,HD,6,8,WA,1,5,A,4/2/2011,4/7/2011,11/1/2010,NA,2035,10,3,0.714,12/7/2009,8/25/2010,3,1,12/5/2009,,Pacific Northwest,5,Catholic,0,PK,8,531,E,0.357,0,East Coast,NEW,14,15,2035,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,April,PK,Middle,PK->Middle,H,0,0.026365348,0.933333333,1,S-M,0
488,HD,8,8,CA,0,6,A,4/2/2011,4/8/2011,10/1/2010,NA,1999,48,2,0.615,5/5/2010,8/23/2010,1,10,5/1/2010,B,Southern California,5,PUBLIC,1,6,8,1200,Q,0.397,0,East Coast,NEW,78,88,1999,1,9/16/2010,9/16/2010,198,198,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.065,0.886363636,10,L,1
489,SC,7,8,CA,0,8,A,4/2/2011,4/9/2011,11/19/2010,NA,2855,26,7,0.813,NA,8/24/2010,7,4,3/18/2010,A,Northern California,6,PUBLIC,1,6,8,975,Q,0.156,0,Costa Rica,EXISTING,32,36,2855,1,9/20/2010,9/20/2010,194,194,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,S,0,0.032820513,0.888888889,4,L,1
490,CD,8,8,WA,0,8,A,4/2/2011,4/9/2011,9/29/2010,NA,2449,17,6,0.586,4/26/2010,8/31/2010,8,2,4/22/2010,,Pacific Northwest,5,CHD,1,K,12,603,K,0.276,1,East Coast,EXISTING,29,31,2449,1,9/29/2010,9/29/2010,185,185,Middle,Middle,Middle->Middle,April,K,High,K->High,C,1,0.048092869,0.935483871,2,M-L,1
491,HD,8,8,MN,0,4,A,4/3/2011,4/6/2011,10/26/2010,NA,1429,24,3,0.828,3/12/2010,8/31/2010,2,2,3/2/2010,A,Other,5,PUBLIC,0,6,8,906,Q,0.241,0,East Coast,EXISTING,29,31,1429,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.03200883,0.935483871,2,L,1
